Mã hàng	ĐVT	Tên hàng
343528	Cái	Gioăng 1/8 máy Calibur/Canto/Canto II
343618	Cái	Gioăng cho đầu ngắt kết nối
34363910	Bộ	Bộ bảo dưỡng Scan/Sort/Calib/LSR máy Calibur, code cũ: 343639
343663	Cái	Gioăng cao su máy Calibur
343835	Cái	Dây cảm biến máy mực nước Aria
344563	Hộp	Stem Cell Enumeration Kit 50 Test
344867	Cái	Cảm biến nhận diện ống mẫu máy Canto II
345763	Lọ	CD3 (SK7)FITC
345774	Lọ	CD8 PerCP SK1 CE
345775	Lọ	CD8 (SK 1) APC
345781	Lọ	CD5 FITC L17F12 CE
345783	Lọ	CD5 APC L17F12 CE
345784	Lọ	CD14 (MΦP9) FITC
345786	Lọ	CD14 PerCP MOP9 CE
345787	Lọ	CD14 APC MOP9 CE
345789	Lọ	CD19 PE SJ25C1 CE
345792	Lọ	CD20 FITC L27 CE
345793	Lọ	CD20 PE L27 CE
345794	Lọ	CD20 PerCP L27 CE
345800	Lọ	CD33 APC P67.6 CE
345807	Lọ	CD38 APC HB-7 CE
345809	Lọ	CD45 PerCP 2D1 CE
345810	Lọ	CD56 PE MY31 CE
346410	Cái	Đầu nối bộ làm khô không khí xe dịch máy Canto
347215	Lọ	CD138 (MI15) PE
347222	Lọ	CD34 PerCP-Cy5.5 50 Test
347240	Lọ	Red Nile Reference Beads 2.49um
347241	Lọ	Blue Reference Beads 6.0um
347246	Lọ	Anti-Kappa PE CE
347247	Lọ	Anti-Lambda FITC CE
347406	Lọ	CD13 PE CE
347407	Lọ	CD61 FITC CE
347463	Lọ	CD45 FITC 2D1 100 Tests RUO/GMP
347543	Lọ	CD19 FITC 4G7 100 Tests RUO/GMP
347568	Cái	Laser Alignment Pin
347674	Lọ	CD20 PerCP L27 100 Tests RUO/GMP
348053	Lọ	CD34 FITC 8G12 100 Tests RUO/GMP
348809	Lọ	CD4 (SK3) PE-Cy(TM) 7
348813	Lọ	CD8 APC-Cy7 CE
348815	Lọ	CD45 APC-Cy7 CE
349202	Hộp	FACS Lysing Solution 10X 100ML IVD
349532	Cái	Switch áp xuất máy Calibur/Count
349700	Hộp	BD™ Multi-Check Control
349703	Hộp	BD™ Multi-Check CD4 Low Control
352054	Ống	Falcon 5mL, đáy tròn, Polystyrene Cap
360211	Cái	Kim đốc đục
360213	Cái	BD Vacutainer®
362753	Ống	BD Vacutainer® CPT™ Mononuclear Cell Preparation Tube - Sodium Heparin
362760	Ống	TUBE CPTCIT GC 13x100 4.0 MLBL BL/BLK
362761	Ống	TUBE CPTCIT GC 16x125 8.0 MLBL BL/BLK
363080	Ống	Ống nghiệm chân không chống đông Citrate 3,2% 1,8ml
363083	Ống	Ống nghiệm chân không chống đông Citrate 3,2% 2,7ml
364356	Cái	Bơm tiêm khí máu động mạch - BD Drihep A-line Syringe 1ml SYR ABG ALINE 1(.6) S/T CE
364376	Cái	Xylanh lấy máu động mạch 3ml không có chế độ tự động hút máu (loại không có kim)
